indicator,country,countryiso3code,date,value,unit,obs_status,decimal,pais,indicador
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'BRA', 'value': 'Brazil'}",,2007,16.112436,,,0.0,BR,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'BRA', 'value': 'Brazil'}",,2006,17.290218,,,0.0,BR,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'BRA', 'value': 'Brazil'}",,2005,20.968174,,,0.0,BR,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'BRA', 'value': 'Brazil'}",,2004,22.419686,,,0.0,BR,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'BRA', 'value': 'Brazil'}",,2003,24.927155,,,0.0,BR,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'BRA', 'value': 'Brazil'}",,2002,23.3,,,0.0,BR,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Ofcl', 'value': 'Official Moderate Poverty Rate-National'}","{'id': 'BRA', 'value': 'Brazil'}",,2001,24.7,,,0.0,BR,1.0.HCount.Ofcl
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2014,27.4788150787354,,,0.0,MX,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2012,27.6499805450439,,,0.0,MX,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2010,28.1574420928955,,,0.0,MX,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2008,28.54150390625,,,0.0,MX,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2006,27.0268840789795,,,0.0,MX,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2005,29.8885746002197,,,0.0,MX,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2004,30.8154239654541,,,0.0,MX,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2002,34.0965614318848,,,0.0,MX,1.0.HCount.Poor4uds
